first,name,organization,image (please don't edit),bioguide,twitter,state,phone,email,party affiliation,office 1,office 1 phone,office 1 geo,office 2,office 2 phone,office 2 geo,office 3,office 3 phone,office 3 geo,office 4,office 4 phone,office 4 geo,office 5,office 5 phone,office 5 geo,office 6,office 6 phone,office 6 geo,office 7,office 7 phone,office 7 geo,office 8,office 8 phone,office 8 geo,Event 1,Event 2,EFF score -4 (to,First cloture vote USAF,,,sp/co FISA Courts Reform Act (+3),"sp/co S. 1551, IOSRA (+4)",sp/co FISA Improvements Act (-4),sp/co FISA Transparency & Modernization Act (-4),sp/co Surveillance State Repeal Act (2014 or 2015) (+4),sp/co USA FREEDOM prior to 2014-05-18 (+2),voted for Conyers/Amash amendment (+4),voted for House version of USA Freedom 2014 (-2),voted for Massie-Lofgren amendment 2014 (+3),Sp/co whistleblower protection for IC employees/contractors,1st USAF cloture vote,Straight reauth,Sp/co FISA Reform Act,Amdmt 1449: Data retention,Amdmt 1450: Extend implementation to 1yr,Amdmt 1451: Gut amicus,Final passage USAF,Sp/co 702 reforms (+4),Massie-Lofgrenamdmt to HR2685: Defund 702 (+3/-3),Massie-Lofgren amdmt on HR4870: No Encryption Backdoors (+3/-3),Total points,Grade,,,
Cedric,Richmond,House,larichmondcedricl.jpg,R000588,RepRichmond,Louisiana,,,Democrat,,,"The Atrium
375 West Padonia Road, Suite 200
Timonium, MD 21093
","""
410-628-2701""","39.454911,-76.640205",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,3,0,10,A-,,,
Scott,Rigell,House,varigellescott.jpg,R000589,RepScottRigell,Virginia,,,Republican,,,"197 West Market St 
Warren, OH 44481
",: 800-856-4152,"41.235888,-80.819818","1030 Tallmadge Ave
Akron, OH 44310
", (330) 630-7311,"41.099949,-81.478217","241 West Federal St. 
Youngstown, OH 44503
", (330) 740-0193,"41.101245,-80.652918",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
James,Risch,Senate,idrischjamese.jpg,R000584,SenatorRisch,Idaho,202-224-2752  ,http://www.risch.senate.gov/public/index.cfm?p=email,Republican,"901 Pier View Drive, Suite 202A
Idaho Falls, ID 83402",208-523-5541,"43.4837019,-112.0513518","1411 Falls Avenue East, Suite 201
Twin Falls, ID 83301",208-734-6780,"42.5784779,-114.457003","350 North 9th Street, Suite 302
Boise, ID 83702",208-342-7985,"43.618149,-116.202353","313 D Street, Suite 106
Lewiston, ID 83501",208-743-0792 ,"46.422158,-117.028638","Harbor Plaza, Suite 213
610 Hubbard
Couer d'Alene, ID 83814",208-667-6130,"47.6719353,-116.7076758","275 South 5th Street, Suite 290
Pocatello, ID 83201",208-236-6817,"42.8650038,-112.442862",,,,,,,,,-,-4,,,0,0,0,0,0,0,0,0,0,0,-4,-3,0,-3,-2,-3,-4,0,0,0,-19,F,,,
Pat,Roberts,Senate,ksrobertspat.jpg,R000307,SenPatRoberts,Kansas,202-224-4774,http://www.roberts.senate.gov/public/index.cfm?p=EmailPat,Republican,"100 Military Plaza, PO Box 550
Dodge City, KS 67801",620-227-2244,"37.7540168,-100.0167094","Frank Carlson Federal Building, Room 392
444 SE Quincy
Topeka, KS 66683",785-295-2745,"39.0528998,-95.6703145","155 North Market Street, Suite 120
Wichita, KS 67202",316-263-0416,"37.687622,-97.337233","11900 College Boulevard, Suite 203
Overland Park, KS 66210",913-451-9343,"38.928082,-94.7242",,,,,,,,,,,,,,,-,-4,,,0,0,0,0,0,0,0,0,0,0,-4,-3,0,-3,-2,-3,-4,0,0,0,-19,F,,,
Martha,Roby,House,alrobymartha.jpg,R000591,RepMarthaRoby,Alabama,,,Republican,,,"5 South Wenatchee Ave, Suite 315
Wenatchee, WA 98801
", (509)885-6615,"47.4246335,-120.3111242","22605 SE 56th Street Suite 130
Issaquah, WA 98029
", (425) 677-7414 or (877) 920-9208,"47.551319,-122.0388479",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Phil,Roe,House,tnroephilip.jpg,R000582,DrPhilRoe,Tennessee,,,Republican,,,"200 South Hough Street
Second Floor
Barrington, IL 60010
",(847) 656-6354,"42.1539141,-88.1361888","2700 International Drive
Suite 304
West Chicago, IL 60185
",(630) 232-0006,"41.9070803,-88.2571231",,,,,,,,,,,,,,,,,,,May 27: http://politicalpartytime.org/party/39374/,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
Hal,Rogers,House,kyrogersharold.jpg,R000395,RepHalRogers,Kentucky,,,Republican,,,"205 Revere Street 
Kingsport, TN 37660
", (423) 247-8161,"36.5482815,-82.5638196","1609 Walters State CC Drive 
Suite 4 
Morristown, TN 37813
", (423) 254-1400,"36.1826171,-83.2720082",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Mike,Rogers,House,alrogersmike.jpg,R000575,,Alabama,,,Republican,,,"226 Taylor Street, Suite 230
Punta Gorda, FL 33950
", (941) 575-9101,"26.934659,-82.05022","10008 Park Place Ave
Riverview, FL 33578
",(813) 677-8646,"27.8559496,-82.3368286","4507 George Blvd
Sebring, FL 33875
", (863) 402-9082,"27.441374,-81.419974",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Dana,Rohrabacher,House,carohrabacherdana.jpg,R000409,,California,,,Republican,,,"433 Exchange St 
Geneva, NY 14456
", 315-759-5229,"42.868166,-76.980885","2 East 2nd St. Suite 300
Jamestown, NY 14701
",716-708-6369,"42.0953896,-79.2407882","89 W. Market Street
Corning, NY 14830 
", (607) 654-7566 ,"42.1442059,-77.0579939","401 E. State St. Suite 304-1
Ithaca, NY 14850", (607) 222-2027,"42.439177,-76.493399","One Bluebird Square 
Olean, NY 14760
",716)-379-8434 ,"42.0794733,-78.4298992",,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
Todd,Rokita,House,inrokitatodd.jpg,R000592,ToddRokita,Indiana,,,Republican,,,"1 Park Center Drive
Suite 302
Wadsworth, OH 44281
","(330) 334-0040""","41.0476498,-81.7276106","7335 Ridge Road, Suite 2
Parma, OH 44129
", (440) 882-6779,"41.36695,-81.733102",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,3,3,12,A,,,
Thomas,Rooney,House,flrooneyrooney.jpg,R000583,TomRooney,Florida,,,Republican,,,"550 N. Military Ave., Suite 4B
Green Bay, WI 54303
", 920-471-1950,"44.5354177,-88.054935","333 West College Avenue
Appleton, WI 54911
",(920) 380-0061,"44.2615182,-88.4093239",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,-3,3,2,C-,,,
Peter,Roskam,House,ilroskampeter.jpg,R000580,PeterRoskam,Illinois,,,Republican,,,"200 Derbigny St., Suite 3200
Gretna, LA 70053
",(504) 365-0390,"29.9160183,-90.0677368","2021 Lakeshore Dr., Suite 309
New Orleans, LA 70122
", (504) 288-3777,"30.0318171,-90.0643945","1520 Thomas H. Delpit Drive, Suite 126
Baton Rouge, LA 70802
", (225) 636-5600,"30.4340328,-91.178682",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Ileana,Ros-Lehtinen,House,flroslehtinenileana.jpg,R000435,RosLehtinen,Florida,,,Republican,,,"36312 Lankford Hwy., Suite 5
Belle Haven, VA 23306
", (757) 442-4790,"37.5444447,-75.8125447","4772 Euclid Road, Suite E
Virginia Beach, VA 23462
",(757) 687-8290,"36.8352759,-76.1424224","1100 Exploration Way, Suite 302
Hampton, VA 23666
", (757) 687-8290,"37.0831498,-76.4025892",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Dennis,Ross,House,flrossdennisa.jpg,R000593,RepDennisRoss,Florida,,,Republican,,,"City Hall - 505 E. Three Notch Street #322
Andalusia, AL 36420
",(334) 428-1129,"31.3082315,-86.4782831","401 Adams Avenue, Suite 160
Montgomery, AL 36104
", (334) 277-9113,"32.375711,-86.3028695","217 Graceland Drive, Suite 5
Dothan, AL 36305
",(334) 794-9680,"31.232517,-85.452038",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,12,A,,,
Keith,Rothfus,House,parothfuskeith.jpg,R000598,KeithRothfus,Pennsylvania,,,Republican,,,"337 Columbia St
Lafayette, IN 47901
",(765) 838-3930,"40.417957,-86.893207","355 S. Washington Street
Danville, IN 46122
", (317) 718-0404,"39.7570295,-86.5232043",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,0,3,3,14,A,,,
Mike,Rounds,Senate,sdroundsmike.jpg,R000605,senatorrounds,South Dakota,(202) 224-5842,http://www.rounds.senate.gov/content/contact-mike,Republican,"1313 West Main Street
Rapid City, SD 57701",605-343-5035,"44.0821961,-103.2402862","320 North Main Avenue, Suite A
Sioux Falls, SD 57014",605-336-0486,"43.5506973,-96.7280408","514 South Main Street, Suite 100
Aberdeen, SD 57401",605-936-0992,"45.4595528,-98.4882708",,,,,,,,,,,,,,,,,,-4,-4,,,0,0,0,0,0,0,0,0,0,0,-4,-3,0,-3,-2,-3,1,0,0,0,-14,F,,,
David,Rouzer,House,ncrouzerdavid.jpg,R000603,,North Carolina,,,Republican,,,"170 Fitzgerald Rd., Ste. 1
Lakeland, FL 33813
", (863) 644-8215,"27.969113,-81.962131","110 West Reynolds St., Ste. 101
Plant City, FL 33563
",(813) 752-4790,"28.0166359,-82.1229952",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0,-2,D+,,,
Lucille,Roybal-Allard,House,caroybalallardlucille.jpg,R000486,RepRoybalAllard,California,,,Democrat,,,"2411 N. Oak Street
Suite 405
Myrtle Beach, SC 29577
",(843) 445-6459,"33.708108,-78.872575","1831 West Evans Street
Suite 300
Florence, SC 29501
", (843) 679-9781,"34.1959169,-79.8017825",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,12,A,,,
Ed,Royce,House,caroyceedr.jpg,R000487,RepEdRoyce,California,,,Republican,,,"650 Corporation Street, Suite 304
Beaver, PA 15009
",(724) 359-1626,"40.6941797,-80.3046989","110 Franklin Street, Suite 150
Cambria County Complex
Johnstown, PA 15901
",(814) 619-3659,"37.131367,-80.4109522","6000 Babcock Boulevard, Suite 104
Pittsburgh, PA 15237
", (412) 837-1361,"40.5510646,-80.0239606",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-7,D,,,
Marco,Rubio,Senate,flrubiomarco.jpg,R000595,SenRubioPress,Florida,(202) 224-3041,http://www.rubio.senate.gov/public/index.cfm/contact,Republican,"201 South Orange Avenue, Suite 350
Orlando, FL 32801",407-254-2573,"28.5400755,-81.3780508","8669 NW 36th Street, Suite 110
Doral, FL 33166",305-418-8553,"25.8109656,-80.3362794","3802 Spectrum Boulevard, Suite 106
Tampa, FL 33612",813-977-6450,"28.0562444,-82.4150923","1650 Prudential Drive, Suite 220
Jacksonville, FL 32207",904-398-8586,"30.3159403,-81.6524245","1 North Palafox Street, Suite 159
Pensacola, FL 32502",850-433-2603,"30.413329,-87.216121","3299 East Tamiami Trail, Suite 106
Naples, FL 34112",239-213-1521,"26.1270731,-81.7664092","402 Monroe Street, Suite 2105E
Tallahassee, FL 32399",850-599-9100,"30.4458869,-84.280697","4580 PGA Boulevard, Suite 201
Palm Beach Gardens, FL 33418",561-775-3360,"26.8380427,-80.1114094",June 4: http://politicalpartytime.org/party/39214/,June 6: politicalpartytime.org/party/38682/,-,-4,,,0,0,0,0,0,0,0,0,0,0,-4,-3,0,-3,-2,-3,-4,0,0,0,-19,F,,,
Raul,Ruiz,House,caruizraul.jpg,R000599,CongressmanRuiz,California,,,Democrat,,,"43875 Washington Street, Suite F
Palm Desert, CA 92211
", (760) 424-8888,"33.7301431,-116.3041831","445 East Florida Ave - 2nd Floor
Hemet, CA 92543
",951-765-2304,"33.7472134,-116.9675779",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,8,B,,,
Dutch,Ruppersberger,House,mdruppersbergercadutch.jpg,R000576,Call_Me_Dutch,Maryland,,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-4,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-11,F,,,
Bobby,Rush,House,ilrushbobbyl.jpg,R000515,RepBobbyRush,Illinois,,,Democrat,,,"6531 Horizon Road
Suite A
Rockwall, TX 75032
", (972) 771-0100,"32.8672397,-96.4424884","100 West Houston Street
1st Floor
Sherman, TX 75090
", (903) 813-5270,"33.6359193,-96.6097463","2600 North Robison Road
Suite 190
Texarkana, TX 75599
",(903) 823-3173,"33.4439999,-94.0802896",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,11,A,,,
Steve,Russell,House,okrussellsteve.jpg,R000604,,Oklahoma,,,Republican,,,"300 Garden City Plaza
Suite 200
Garden City, NY 11530
","
(516) 739-3008","40.7363155,-73.6160735",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3,0,-2,D+,,,
Paul,Ryan,House,wiryanpaul.jpg,R000570,RepPaulRyan,Wisconsin,,,Republican,,,"310 Government Center Drive
Unit 1
Bolivia, NC 28422
",(910) 253-6111,"34.0583353,-78.1626772","2736 NC Hwy 210
Smithfield, NC 27577
",(919) 938-3040,"35.5071332,-78.4042801","230 Government Center Drive
Suite 113
Wilmington, NC 28403",(910) 395-0202,"34.2417055,-77.8675959",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,-3,3,2,C-,,,
Tim,Ryan,House,orryantim.jpg,R000577,RepTimRyan,Ohio,,,Democrat,,,"4600 SE 29thSuite 400Del City,  OK 73115",(405) 602-3074,"35.43454,-97.4337619",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,C,,,
Matt,Salmon,House,azsalmonmatt.jpg,S000018,RepMattSalmon,Arizona,,,Republican,,,"12397 Lewis Street, Suite 101Garden Grove,  CA 92840",(714) 621-0102,"33.7830864,-117.8991243",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
Linda,Sanchez,House,casanchezlinda.jpg,S001156,,California,,,Democrat,,,"2600 Washington Avenue, Suite 1010
Newport News, VA 23607-4317",757-380-1000 ,"36.9788559,-76.4304051","400 North 8th Street, Suite 430
Richmond, VA 23219-4805",804-644-4845 ,"37.5429387,-77.4340674",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,12,A,,,
Loretta,Sanchez,House,casanchezloretta.jpg,S000030,LorettaSanchez,California,,,Democrat,,,"530 Johnnie Dobbs Boulevard, Suite 201
Mount Pleasant, SC 29464",843-352-7572 ,"32.8060037,-79.8879426","710 Boundary Street Suite 1D, PO Box 1538
Beaufort, SC 29902",843-521-2530 ,"32.439287,-80.670472",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,0,3,3,14,A,,,
Bernie,Sanders,Senate,vtsandersbernard.jpg,S000033,SenSanders,Vermont,(202) 224-5141,http://www.sanders.senate.gov/contact/comment,Independent,"36 Chickering Drive, Suite 103
Brattleboro, VT 05301",802-254-8732,"42.87706,-72.56161","1 Church Street, Suite 300
Burlington, VT 05401",802-862-0697,"44.480287,-73.213004","357 Western Avenue, Suite 1B
St. Johnsbury, VT 05819-2795",802-748-9269,"44.4173717,-72.0264579",,,,,,,,,,,,,,,,,,0,1,,,0,4,0,0,0,0,0,0,0,0,1,3,0,1,1,1,4,0,0,0,15,A+,,,
Mark,Sanford,House,scsanfordmark.jpg,S000051,RepSanfordSC,South Carolina,,,Republican,,,"120 Bishops Way, Room 154
Brookfield, WI 53005-6294",262-784-1111,"43.0289298,-88.0784998",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,4,3,3,23,A+,,,
John,Sarbanes,House,mdsarbanesjohnp.jpg,S001168,RepJohnSarbanes,Maryland,,,Democrat,,,"1231 Lafayette Avenue, 4th Floor
Bronx, NY 10474",718-620-0084 ,"40.8167823,-73.8906744",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,12,A,,,
Benjamin,Sasse,Senate,nesassebenjamin.jpg,S001197,sensasse,Nebraska,(202) 224-4224,http://www.sasse.senate.gov/public/index.cfm/email-ben,Republican,"115 Railway Street, Suite C102
Scottsbluff, NE 69361",308-632-6032,"41.8624648,-103.6651566","4111 Fourth Avenue, Suite 26
Kearney, NE 68845",308-233-3677,"40.7155717,-99.0867393","287 Federal Building 100 Centennial Mall North
Lincoln, NE 68508",402-476-1400,"40.8141069,-96.6992728",,,,,,,,,,,,,,,,,,-4,-4,,,0,0,0,0,0,0,0,0,0,0,-4,-3,0,-3,-2,-3,-4,0,0,0,-19,F,,,
Steve,Scalise,House,lascalisesteve.jpg,S001176,SteveScalise,Louisiana,,,Republican,,,"Park Central VII, Suite 1434
12750 Merit Drive
Dallas, TX 75251-1229",972-392-0505 ,"32.9221854,-96.7701857",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,3,0,0,0,0,0,0,0,1,0,-3,3,6,C+,,,
Jan,Schakowsky,House,ilschakowskyjand.jpg,S001145,JanSchakowsky,Illinois,,,Democrat,,,"5000 Van Nuys Boulevard, Suite 420
Sherman Oaks, CA 91403",818-501-9200,"34.1616572,-118.4482951",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,-2,3,0,0,0,0,0,0,0,4,0,3,3,13,A,,,
Brian,Schatz,Senate,hischatzbrian.jpg,S001194,SenBrianSchatz,Hawaii,(202) 224-3934,http://www.schatz.senate.gov/contact,Democrat,"300 Ala Moana Blvd.
Room 7-212 
Honolulu, HI 96850",(808) 523-2061,"21.303405,-157.8617926",,,,,,,,,,,,,,,,,,,,,,,,0,1,,,3,4,0,0,0,0,0,0,0,0,1,3,0,1,-2,1,1,0,0,0,12,A,,,
Adam,Schiff,House,caschiffadamb.jpg,S001150,RepAdamSchiff,California,,,Democrat,,,"110 East Locust Street, Room 12
Harrisburg, IL 62946",618-252-8271 ,"37.7391005,-88.5393049","15 Professional Park Drive
Maryville, IL 62062",618-288-7190 ,"38.737077,-89.9548986","101 North 4th Street, Suite 303
Effingham, IL 62401",217-347-7947,"39.1217789,-88.542411","201 North Vermilion Street, Suite 218
Danville, IL 61832",217-446-0664,"40.128269,-87.6299795",,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-3,D,,,
Kurt,Schrader,House,orschraderkurt.jpg,S001180,RepSchrader,Oregon,,,Democrat,,,"101 Evergreen Building
15 South Grady Way
Renton, WA 98057",425-793-5180 ,"47.4692577,-122.215339",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,14,A,,,
Chuck,Schumer,Senate,nyschumercharlese.jpg,S000148,SenSchumer,New York,202) 224-6542,http://www.schumer.senate.gov/contact/email-chuck,Democrat,"15 Henry Street, Room 100 A-F
Binghamton, NY 13901",607-772-6792 ,"42.1008789,-75.9124229","Leo W. O'Brien Federal Office Building, Room 420
1 Clinton Square
Albany, NY 12207",518-431-4070,"42.655222,-73.7492819","100 State Street, Room 3040
Rochester, NY 14614",585-263-5866,"43.157841,-77.6134639","145 Pine Lawn Road, # 300
Melville, NY 11747",631-753-0978,"40.771472,-73.407443","100 South Clinton Street, Room 841
Syracuse, NY 13261-7318",315-423-5471,"43.0502279,-76.154804","780 Third Avenue, Suite 2301
New York, NY 10017",212-486-4430,"40.7550153,-73.9718097","1 Park Place, Suite 100
Peekskill, NY 10566",914-734-1532,"41.2904734,-73.9167323","130 South Elmwood Avenue, #660
Buffalo, NY 14202",716-846-4111,"42.8890285,-78.8795419",June 3: http://politicalpartytime.org/party/39357/,,0,1,,,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,8,B,,,
David,Schweikert,House,azschweikertdavid.jpg,S001183,RepDavid,Arizona,,,Republican,,,"4573 South Broad Street
Hamilton, NJ 08620",609-585-7878 ,"40.178635,-74.671842","405 Route 539
Cream Ridge, NJ 08514-2303",609-286-2571 ,"40.1022195,-74.5065038","Raintree Shopping Center, 2nd Floor
112 Village Center Drive
Freehold, NJ 07728",732-780-3035 ,"40.2402701,-74.3081359",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
Austin,Scott,House,gascottaustin.jpg,S001189,AustinScottGA08,Georgia,,,Republican,,,"410 Memorial Drive, Suite 203
Idaho Falls, ID 83402",208-523-6701,"43.4936269,-112.0427061","275 South 5th Avenue, #275
Pocatello, ID 83201-5730",208-233-2222,"42.8650038,-112.442862","1341 Fillmore Street, #202
Twin Falls, ID 83301",208-734-7219,"42.585699,-114.465532","802 West Bannock, Suite 600
Boise, ID 83702-5820",208-334-1953,"43.6174275,-116.2020512",,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,-2,3,0,0,0,0,0,0,0,1,0,-3,3,4,C,,,
Bobby,Scott,House,vascottrobert.jpg,S000185,RepBobbyScott,Virginia,,,Democrat,,,"Guaranty Bank Building, Suite 640
1100 NE Loop 410
San Antonio, TX 78209",210-821-5024 ,"29.5152607,-98.4539509","301 Junction Highway, Suite 346C
Kerrville, TX 78028",830-896-0154 ,"30.0539917,-99.1508078",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,14,A,,,
David,Scott,House,gascottdavid.jpg,S001157,RepDavidScott,Georgia,,,Democrat,,,"5533 North Broadway Street, Suite 2
Chicago, IL 60640-1405", 773-506-7100,"41.9824224,-87.6600381","820 Davis Street, Suite 105
Evanston, IL 60201",847-328-3409,"42.046679,-87.682986","1852 Johns Drive
Glenview, IL 60025",847-328-3409 ,"42.0884495,-87.8103273",,,,,,,,,,,,,,,,June 4: http://politicalpartytime.org/party/39331/,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,8,B,,,
Tim,Scott,Senate,scscotttim.jpg,S001184,SenatorTimScott,South Carolina,(202) 224-6121,http://www.scott.senate.gov/contact/email-me,Republican,"2500 City Hall Lane, 3rd Floor
North Charleston, SC 29406",843-727-4525,"32.8771227,-80.0121014","1301 Gervais Street, Suite 825
Columbia, SC 29201",803-771-6112,"34.002145,-81.0317424","40 West Broad Street, Suite 320
Greenville, SC 29601",864-233-5366,"34.8480108,-82.4009478",,,,,,,,,,,,,,,,,,-,1,,,0,0,0,0,0,0,0,0,0,0,1,-3,0,-3,-2,1,1,0,0,0,-5,D,,,
Jim,Sensenbrenner,House,wisensenbrennerfjamesjr.jpg,S000244,JimPressOffice,Wisconsin,,,Republican,,,"245 East Olive Avenue, Suite 200
Burbank, CA 91502",818-450-2900 ,"34.1817004,-118.3082658",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,-2,3,0,0,0,0,0,0,0,1,0,3,3,14,A,,,
José,Serrano,House,nyserranojose.jpg,S000248,RepJoseSerrano,New York,,,Democrat,,,"310 Penn Street, Suite 200
Hollidaysburg, PA 16648",814-696-6318 ,"40.4300887,-78.3901308","827 Water Street, #3
Indiana, PA 15701",724-463-0516 ,"40.6245405,-79.1552127","100 Lincoln Way East, Suite B
Chambersburg, PA 17201",717-264-8308,"39.9374243,-77.6611183",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,4,0,3,3,19,A+,,,
Jeff,Sessions,Senate,alsessionsjeff.jpg,S001141,SenatorSessions,Alabama,(202) 224-4124,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,Republican,"7550 Halcyon Summit Drive, Suite 150
Montgomery, AL 36117",334-244-7017,"32.365016,-86.16811","341 Vance Federal Building
1800 Fifth Avenue North
Birmingham, AL 35203-2171",205-731-1500,"33.517386,-86.810488","Regions Center, Suite 802
200 Clinton Avenue N.W.
Huntsville, AL 35801-4932",256-533-0979,"34.7306711,-86.5881235","BB&T, Suite 2300-A
41 West I-65 Service Road North
Mobile, AL 36608-1291",251-414-3083,"30.687701,-88.1287592","100 West Troy Street, Suite 302
Dothan, AL 36303",334-792-4924,"31.225401,-85.392611",,,,,,,,,,,,-,-4,,,0,0,0,0,0,0,0,0,0,0,-4,-3,0,-3,-2,-3,-4,0,0,0,-19,F,,,
Pete,Sessions,House,txsessionspete.jpg,S000250,PeteSessions,Texas,,,Republican,,,"17906 Crusader Avenue, Suite 100
Cerritos, CA 90703",562-860-5050,"33.8680686,-118.1012285",,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-2,3,0,0,0,0,0,0,0,1,0,3,3,8,B,,,
Terri,Sewell,House,alsewellterria.jpg,S001185,RepTerriSewell,Alabama,,,Democrat,,,"888 Concord Road, Suite 100
Smyrna, GA 30080",770-432-5405 ,"33.8746567,-84.5279121","173 North Main Street
Jonesboro, GA 30236",770-210-5073,"33.5256911,-84.3547989",,,,,,,,,,,,,,,,,,,,,,,0,0,0,-4,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,-3,-3,-11,F,,,
Jeanne,Shaheen,Senate,nhshaheenjeanne.jpg,S001181,SenatorShaheen,New Hampshire,(202) 224-4049,http://www.shaheen.senate.gov/contact/,Democrat,"50 Opera House Square
Claremont, NH 03743",603-542-4872,"43.3727196,-72.3373946","60 Main Street
Nashua, NH 03060",603-883-0196,"42.7633471,-71.466003","1589 Elm Street, Suite 3
Manchester, NH 03101",603-647-7500,"43.0009902,-71.4640801","961 Main Street
Berlin, NH 03570",603-752-6300,"44.4779811,-71.170719","340 Central Avenue, Suite 205
Dover, NH 03820",603-750-3004,"43.1952108,-70.8748699","12 Gilbo Avenue, Suite C
Keene, NH 03431",603-358-6604,"42.932354,-72.2794468",,,,,,,,,-,1,,,3,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,11,A-,,,
